path,quality,fruit,source,label
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115439.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115448.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115451.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115459.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115505.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115513.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115521.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115527.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115534.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115547.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115602.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115606.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115613.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115623.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115640.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115648.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115653.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115705.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115717.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115723.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115733.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115752.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115758.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115805.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115815.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115823.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115834.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115847.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115900.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115908.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115917.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115921.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115942.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115954.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115957.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120004.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120025.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120034.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120059.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120105.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120123.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120154.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120200.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120205.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120212.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120222.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120239.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120300.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120304.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120316.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120328.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120333.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120338.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120416.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120439.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120445.jpg,Premium,Apple,Kaggle,0
