path,quality,folder,fruit,source,label
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115439.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115448.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115451.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115459.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115505.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115513.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115521.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115527.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115534.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115547.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115602.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115606.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115613.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115623.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115640.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115648.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115653.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115705.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115717.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115723.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115733.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115752.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115758.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115805.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115815.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115823.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115834.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115847.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115900.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115908.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115917.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115921.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115942.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115954.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_115957.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120004.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120025.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120034.jpg,Premium,Good,Apple,Kaggle,0.0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120059.jpg,Premium,Good,Apple,Kaggle,0.0
